name,TempK,Sigma,SMILES
diethyl acetylenedicarboxylate,333,29.18,CCOC(=O)C#CC(=O)OCC
4-methyl-2-pentanol,358,17.69,CC(C)CC(C)O
4-chloro-4-ethylheptane,328,22.95,CCCC(CC)(CCC)Cl
propyl isobutyrate,373,15.68,CCCOC(=O)C(C)C
Butyl propioate,283,26.38,CCC(=O)OCCCC
hexane,313,16.36,CCCCCC
6-benzyl-4-bromo-2-phenylphenol,303,44.1,C1=CC=C(C=C1)CC2=C(C(=CC(=C2)Br)C3=CC=CC=C3)O
glycerol trioleate,333,31.84,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC
pentylbenzene,293,29.45,CCCCCC1=CC=CC=C1
glycerol trioleate,373,29.04,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC
Ethyl 2-cyano-3-methyl-2-pentenoate,298,33.86,CCC(=C(C#N)C(=O)OCC)C
"3-methyl-4-(2,2,6-trimethylcyclohexyl)-2-butanol",343,26.77,CC1CCCC(C)(C)C1CC(C)C(C)O
anisole,323,32.09,COC1=CC=CC=C1
p-methylbenzyl alcohol,373,31.42,CC1=CC=C(C=C1)CO
"2,2-dimethylhexane",298,19.17,CCCCC(C)(C)C
phenetole,323,29.65,CCOC1=CC=CC=C1
DL-1-Phenyl-2-butanol,363,27.54,CCC(CC1=CC=CC=C1)O
"2,4,4-trimethylhexane",323,18.66,CCC(C)(C)CC(C)C
1-chloroheptane,293,27.02,CCCCCCCCl
"3,3-dimethylhexane",303,19.79,CCCC(C)(C)CC
m-toluidine,293,38.37,CC1=CC(=CC=C1)N
Ethyl disulfide,313,28.88,CCSSCC
"3-ethyl-2,2-dimethylpentane",313,20.51,CCC(CC)C(C)(C)C
dicyclohexylamine,313,31.8,C1CCC(CC1)NC2CCCCC2
trans-hexahydro-2-indanone,303,34.4,C1CCC2CC(=O)CC2C1
heptane,343,15.24,CCCCCCC
benzoyl chloride,303,38.09,C1=CC=C(C=C1)C(=O)Cl
Propyl Acetate,303,23.24,CCCOC(=O)C
Ethyl Palmitate,353,25.99,CCCCCCCCCCCCCCCC(=O)OCC
m-toluidine,313,36.41,CC1=CC(=CC=C1)N
pyridazine,293,48.48,C1=CC=NN=C1
Methyl butyrate ,303,24.04,CCCC(=O)OC
2-methyl-1-propanethiol,333,19.92,CC(C)CS
tripentylamine,303,25.39,CCCCCN(CCCCC)CCCCC
iodomethane,283,32.85,CI
allyl succinate,313,31.6,C=CCOC(=O)CCC(=O)OCC=C
dipentyl succinate,283,31.07,CCCCCOC(=O)CCC(=O)OCCCCC
butyl propyl carbonate,333,23.16,CCCCOC(=O)OCCC
butyl 3-heptyloxypropionate,333,24.86,CCCCCCCOCCC(=O)OCCCC
1-bromohexane,343,23.04,CCCCCCBr
phenyl isothiocyanate,293,40.56,C1=CC=C(C=C1)N=C=S
isobutyl butyrate,363,16.88,CCCC(=O)OCC(C)C
3-methylheptane,353,15.49,CCCCC(C)CC
"2,3,3,4-tetramethylpentane",298,22.88,CC(C)C(C)(C)C(C)C
butyric acid,333,22.83,CCCC(=O)O
acetaldehyde,313,18.46,CC=O
"glycerol 1,3-dipalmitate",373,21.232,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)O
5-decanone,323,25.13,CCCCCC(=O)CCCC
Ethyl 2-cyano-3-methylvalerate,288,31.26,CCC(C)C(C#N)C(=O)OCC
butylcyclohexane,278,28.48,CCCCC1CCCCC1
cyclohexylamine,303,30.63,C1CCC(CC1)N
glycerol acetate,353,36.52,CC(=O)OCC(CO)O
3-ethyl-3-methylpentane,323,19.24,CCC(C)(CC)CC
butyl ethyl carbonate,333,22.92,CCCCOC(=O)OCC
diisopentyl succinate,313,28.21,CC(C)CCOC(=O)CCC(=O)OCCC(C)C
isopropylamine,253,21.85,CC(C)N
